State,Year,Population,Density
Tasmania,2000,473123,6.9169
Northern Territory,2000,199149,0.1478
Australian Capital Territory,2000,317235,134.5356
New South Wales,2001,6530349,8.1547
Victoria,2001,4763615,20.9441
Queensland,2001,3571469,2.0678
South Australia,2001,1503461,1.5275
Western Australia,2001,1906274,0.7544
Tasmania,2001,473668,6.9249
Northern Territory,2001,201743,0.1497
Australian Capital Territory,2001,321538,136.3605
New South Wales,2002,6580807,8.2177
Victoria,2002,4817774,21.1822
Queensland,2002,3653123,2.1151
South Australia,2002,1511567,1.5358
Western Australia,2002,1928512,0.7632
Tasmania,2002,474152,6.9319
Northern Territory,2002,202251,0.1501
Australian Capital Territory,2002,324627,137.6705
New South Wales,2003,6620715,8.2675
Victoria,2003,4873809,21.4286
Queensland,2003,3743121,2.1672
South Australia,2003,1520399,1.5447
Western Australia,2003,1952741,0.7727
Tasmania,2003,478534,6.996
Northern Territory,2003,201725,0.1497
Australian Capital Territory,2003,327357,138.8282
New South Wales,2004,6650735,8.305
Victoria,2004,4927149,21.6631
Queensland,2004,3829970,2.2174
South Australia,2004,1528189,1.5527
Western Australia,2004,1979542,0.7834
Tasmania,2004,483178,7.0639
Northern Territory,2004,202663,0.1504
Australian Capital Territory,2004,328940,139.4996
New South Wales,2005,6693206,8.358
Victoria,2005,4989246,21.9362
Queensland,2005,3918494,2.2687
South Australia,2005,1538804,1.5634
Western Australia,2005,2011207,0.7959
Tasmania,2005,486202,7.1081
Northern Territory,2005,205905,0.1528
Australian Capital Territory,2005,331399,140.5424
New South Wales,2006,6742690,8.4198
Victoria,2006,5061266,22.2528
Queensland,2006,4007992,2.3205
South Australia,2006,1552529,1.5774
Western Australia,2006,2050581,0.8115
Tasmania,2006,489302,7.1534
Northern Territory,2006,209057,0.1551
Australian Capital Territory,2006,335170,142.1416
New South Wales,2007,6834156,8.534
Victoria,2007,5153522,22.6584
Queensland,2007,4111018,2.3802
South Australia,2007,1570619,1.5958
Western Australia,2007,2106139,0.8335
Tasmania,2007,493262,7.2113
Northern Territory,2007,213748,0.1586
Australian Capital Territory,2007,342644,145.3113
New South Wales,2008,6943461,8.6705
Victoria,2008,5256375,23.1106
Queensland,2008,4219505,2.443
South Australia,2008,1588665,1.6141
Western Australia,2008,2171700,0.8594
Tasmania,2008,498568,7.2889
Northern Territory,2008,219874,0.1631
Australian Capital Territory,2008,348368,147.7388
New South Wales,2009,7053755,8.8083
Victoria,2009,5371934,23.6187
Queensland,2009,4328771,2.5062
South Australia,2009,1608902,1.6347
Western Australia,2009,2240250,0.8865
Tasmania,2009,504353,7.3735
Northern Territory,2009,226027,0.1677
Australian Capital Territory,2009,354785,150.4601
New South Wales,2010,7144292,8.9213
Victoria,2010,5461101,24.0107
Queensland,2010,4404744,2.5502
South Australia,2010,1627322,1.6534
Western Australia,2010,2290845,0.9065
Tasmania,2010,508847,7.4392
Northern Territory,2010,229778,0.1705
Australian Capital Territory,2010,361766,153.4207
New South Wales,2011,7218529,9.014
Victoria,2011,5537817,24.348
Queensland,2011,4476778,2.5919
South Australia,2011,1639614,1.6659
